Average of open,Column Labels,,,,,,,,,,,,,,'13,1848.36
BHF,,,,,59.49659483,62.70384615,60.08383803,0.0%,0.0%,0.0%,0.0%,2.2%,2.5%,,,
BHGE,,,,,34.005,33.61269231,33.93789474,0.0%,0.0%,0.0%,0.0%,1.3%,1.3%,,,
BIIB,222.8570133,318.2506349,353.0531944,280.4275794,291.039004,342.4626923,295.5971565,12.1%,17.2%,17.1%,13.7%,10.9%,13.7%,,,
BK,30.23946903,36.45218254,41.30503968,40.27083333,50.11780876,56.24730769,40.20586974,1.6%,2.0%,2.0%,2.0%,1.9%,2.2%,,,
BLK,274.3132743,319.3025794,347.3345238,349.8421032,423.5324303,554.0534615,348.577911,14.8%,17.3%,16.9%,17.1%,15.8%,22.1%,,,
BLL,23.00911504,30.17087302,34.66553571,36.78514881,39.62424303,38.34076923,33.162222,1.2%,1.6%,1.7%,1.8%,1.5%,1.5%,,,
BMY,44.80747946,52.19472222,64.53263889,63.21698413,57.52306773,62.35692308,56.83565664,2.4%,2.8%,3.1%,3.1%,2.2%,2.5%,,,
BRK.B,111.8347788,130.4457143,140.2615476,143.9337659,175.1149064,208.7792308,142.2925342,6.1%,7.1%,6.8%,7.0%,6.5%,8.3%,,,
BSX,9.917810177,12.87599206,17.17714286,21.25400794,26.51063745,27.12846154,17.89542105,0.5%,0.7%,0.8%,1.0%,1.0%,1.1%,,,
BWA,45.43026549,59.56638889,51.96746032,34.53166667,45.38824701,55.46615385,47.5856394,2.5%,3.2%,2.5%,1.7%,1.7%,2.2%,,,
BXP,105.6953097,118.3809921,128.6852976,127.6288492,126.3789841,123.0523077,121.70834,5.7%,6.4%,6.3%,6.2%,4.7%,4.9%,,,
C,48.95017655,50.19480198,53.30170635,46.33986111,65.69982072,76.90384615,53.46438443,2.6%,2.7%,2.6%,2.3%,2.5%,3.1%,,,
CA,28.79803097,29.97837302,29.80460317,31.41563492,32.71143426,34.37730769,30.6551112,1.6%,1.6%,1.4%,1.5%,1.2%,1.4%,,,
CAG,33.94561947,32.17833333,39.56847222,43.91206349,37.04505976,37.36730769,37.40079825,1.8%,1.7%,1.9%,2.1%,1.4%,1.5%,,,
CAH,51.37716814,72.37265873,85.71563492,78.50728175,71.61635458,69.07692308,72.28358221,2.8%,3.9%,4.2%,3.8%,2.7%,2.8%,,,
CAT,85.89778717,100.7327778,78.78823413,78.63603175,112.5278287,164.4042308,92.92094512,4.6%,5.4%,3.8%,3.8%,4.2%,6.6%,,,
CB,92.11946903,103.6578968,109.4130159,123.1806746,142.3448008,148.7207692,115.2896624,5.0%,5.6%,5.3%,6.0%,5.3%,5.9%,,,
CBG,23.71221239,29.84670635,35.81253968,28.58555556,36.617251,44.79038462,31.34561557,1.3%,1.6%,1.7%,1.4%,1.4%,1.8%,,,
CBOE,44.27174779,53.78928571,62.64916667,66.18055556,94.72207171,130.6511538,66.08226767,2.4%,2.9%,3.0%,3.2%,3.5%,5.2%,,,
CBS,51.8848677,58.72178571,53.54845238,53.80388889,62.59936255,57.89923077,56.23072288,2.8%,3.2%,2.6%,2.6%,2.3%,2.3%,,,
CCI,72.51964602,76.45832937,83.67083333,89.88978175,99.46864542,108.3976923,85.13040826,3.9%,4.1%,4.1%,4.4%,3.7%,4.3%,,,
CCL,35.1705531,39.28607143,48.80724206,48.3859881,62.88900797,69.09730769,47.59571088,1.9%,2.1%,2.4%,2.4%,2.4%,2.8%,,,
CDNS,13.97349513,16.53329365,19.91438492,23.92031746,35.53960159,43.86115385,22.58266473,0.8%,0.9%,1.0%,1.2%,1.3%,1.7%,,,
CELG,67.28056416,87.84753968,118.469127,106.5447421,122.8155179,103.2623077,101.3169162,3.6%,4.8%,5.8%,5.2%,4.6%,4.1%,,,
CERN,49.94311947,57.19611111,66.4652381,56.61527778,63.30860558,69.03346154,59.09625496,2.7%,3.1%,3.2%,2.8%,2.4%,2.8%,,,
CF,39.95713053,50.27853175,56.4467381,28.38402222,32.15430279,41.63936538,41.48626418,2.2%,2.7%,2.7%,1.4%,1.2%,1.7%,,,
CFG,,23.73434783,25.44172619,24.15944444,36.52422311,45.38192308,28.8055,0.0%,1.3%,1.2%,1.2%,1.4%,1.8%,,,
CHD,31.28263274,34.58617063,42.32214286,46.73838294,49.13673307,49.26846154,41.17803217,1.7%,1.9%,2.1%,2.3%,1.8%,2.0%,,,
CHK,23.36207965,25.43281786,11.57505952,5.190535714,4.921415538,3.895769231,13.70166434,1.3%,1.4%,0.6%,0.3%,0.2%,0.2%,,,
CHRW,58.30335177,62.88380952,68.32142857,70.95297619,74.59252988,92.61461538,67.71336974,3.2%,3.4%,3.3%,3.5%,2.8%,3.7%,,,
CHTR,117.9957301,146.5683333,180.3317063,229.192381,340.9737849,364.3107692,207.9895353,6.4%,7.9%,8.8%,11.2%,12.8%,14.5%,,,
CI,73.41477876,90.14894841,134.3005952,132.6001984,171.2198805,211.5046154,123.148201,4.0%,4.9%,6.5%,6.5%,6.4%,8.4%,,,
CINF,48.19579646,48.66289683,54.21357143,69.74992063,73.52384462,74.93038462,59.40967037,2.6%,2.6%,2.6%,3.4%,2.7%,3.0%,,,
CL,60.20896018,65.89654762,67.1585119,70.08896825,72.30739084,74.77230769,67.42871732,3.3%,3.6%,3.3%,3.4%,2.7%,3.0%,,,
