"Name","Symbol","Average Volume","Market_Cap","Revenue","P.E.Ratio","Beta"
"American Express","AXP","3.94M"," 91,070,000,000"," 41,630,000,000",14.75,1.1
"American Tower","AMT","1.94M"," 80,110,000,000","  7,440,000,000",65.57,0.68
"American Water Works","AWK","1.01M"," 18,530,000,000","  3,440,000,000",31.85,0.24
"Ameriprise Financial","AMP","1.05M"," 17,330,000,000"," 12,920,000,000",8.77,1.89
"AmerisourceBergen","ABC","1.48M"," 16,120,000,000","172,870,000,000",14.79,1.14
"Ametek","AME","1.41M"," 17,860,000,000","  4,850,000,000",23.88,1.2
"Amgen","AMGN","3.20M","112,550,000,000"," 23,750,000,000",14.35,1.21
"Amphenol","APH","1.35M"," 27,680,000,000","  8,200,000,000",22.44,0.91
"Anadarko Petroleum","APC","5.61M"," 21,020,000,000"," 13,070,000,000",30.16,1.57
"Analog Devices","ADI","2.89M"," 38,820,000,000","  7,740,000,000",24.74,1.24
"ANSYS","ANSS","481.29K"," 14,860,000,000","  1,290,000,000",36.24,1.35
"Anthem","ANTM","1.72M"," 75,830,000,000"," 92,130,000,000",20.93,0.95
"AO Smith","AOS","1.83M","  8,540,000,000","  3,190,000,000",19.71,1.38
"Aon","AON","1.25M"," 38,890,000,000"," 10,770,000,000",34.97,0.95
"Apache","APA","5.04M"," 11,990,000,000","  7,400,000,000",40.66,1.76
"Apartment Invest","AIV","1.51M","  7,130,000,000","  1,710,000,000",11.39,0.65
"Apple","AAPL","35.59M","820,530,000,000","261,610,000,000",14.49,1.11
"Applied Materials","AMAT","12.08M"," 35,830,000,000"," 16,800,000,000",9.39,1.62
"Aptiv","APTV","2.03M"," 21,270,000,000"," 14,440,000,000",19.78,1.79
"Archer-Daniels-Midland","ADM","3.70M"," 23,480,000,000"," 64,340,000,000",13.37,0.95
"Arconic Inc","ARNC","6.10M","  8,970,000,000"," 14,010,000,000",13.31,1.46
"Arthur J Gallagher","AJG","1.12M"," 14,340,000,000","  6,930,000,000",22.55,0.94
"Assurant","AIZ","447.52K","  6,170,000,000","  8,060,000,000",24.13,0.65
"AT&T","T","37.56M","218,250,000,000","170,760,000,000",10.81,0.57
"Autodesk","ADSK","1.83M"," 33,370,000,000","  2,390,000,000",NA,1.95
"AutoZone","AZO","341.85K"," 23,560,000,000"," 11,310,000,000",17.7,0.68
"AvalonBay","AVB","622.72K"," 27,210,000,000","  2,280,000,000",27.97,0.63
"Avery Dennison","AVY","726.88K","  9,100,000,000","  7,160,000,000",20.37,1.4
"Baker Hughes A","BHGE","5.03M"," 26,670,000,000"," 22,880,000,000",126.75,0.87
"Ball","BLL","2.97M"," 18,390,000,000"," 11,640,000,000",38.06,0.82
