"Weight_ID","Company","Symbol","Weight","Price","Change"
"364","AmerisourceBergen Corporation","ABC","0.052786","    77 95","0.00  (0.00%)"
"365","E*TRADE Financial Corporation","ETFC","0.052538","    47 36","0.00  (0.00%)"
"366","Apache Corporation","APA","0.052450","    32 80","0.05  (0.15%)"
"367","C.H. Robinson Worldwide Inc.","CHRW","0.052415","    88 87","0.00  (0.00%)"
"368","NRG Energy Inc.","NRG","0.052267","    41 79","0.00  (0.00%)"
"369","Norwegian Cruise Line Holdings Ltd.","NCLH","0.052178","    55 50","0.04  (0.07%)"
"370","Seagate Technology PLC","STX","0.052115","    48 50","-0.13  (-0.27%)"
"371","Masco Corporation","MAS","0.052050","    39 34","0.00  (0.00%)"
"372","WellCare Health Plans Inc.","WCG","0.051701","    239 81","0.01  (0.00%)"
"373","Mid-America Apartment Communities Inc.","MAA","0.051482","    106 79","0.00  (0.00%)"
"374","Atmos Energy Corporation","ATO","0.051153","    100 56","0.00  (0.00%)"
"375","Copart Inc.","CPRT","0.050798","    58 20","-0.72  (-1.22%)"
"376","Wynn Resorts Limited","WYNN","0.050563","    119 38","0.01  (0.01%)"
"377","CenturyLink Inc.","CTL","0.050471","    12 30","-0.04  (-0.32%)"
"378","Hormel Foods Corporation","HRL","0.050446","    42 95","0.00  (0.00%)"
"379","AES Corporation","AES","0.050258","    17 97","0.00  (0.00%)"
"380","Vornado Realty Trust","VNO","0.050249","    68 55","0.00  (0.00%)"
"381","Fortinet Inc.","FTNT","0.050036","    82 56","0.00  (0.00%)"
"382","J.M. Smucker Company","SJM","0.049969","    103 13","0.00  (0.00%)"
"383","Akamai Technologies Inc.","AKAM","0.049762","    72 25","0.31  (0.43%)"
"384","Broadridge Financial Solutions Inc.","BR","0.049755","    99 49","0.00  (0.00%)"
"385","Quest Diagnostics Incorporated","DGX","0.049214","    86 98","1.54  (1.80%)"
"386","Kohl's Corporation","KSS","0.049013","    69 80","0.25  (0.36%)"
"387","Kansas City Southern","KSU","0.049011","    115 00","0.40  (0.35%)"
"388","Advance Auto Parts Inc.","AAP","0.048314","    155 46","0.00  (0.00%)"
"389","Eastman Chemical Company","EMN","0.048095","    80 73","0.00  (0.00%)"
"390","Molson Coors Brewing Company Class B","TAP","0.048045","    60 10","0.00  (0.00%)"
"391","Universal Health Services Inc. Class B","UHS","0.047969","    129 70","0.00  (0.00%)"
"392","Tractor Supply Company","TSCO","0.047378","    89 52","0.00  (0.00%)"
"393","Conagra Brands Inc.","CAG","0.047324","    22 90","0.00  (0.00%)"
"394","Cabot Oil & Gas Corporation","COG","0.047003","    24 89","-0.01  (-0.04%)"
"395","Regency Centers Corporation","REG","0.046700","    64 54","0.00  (0.00%)"
"396","Alliant Energy Corp","LNT","0.046642","    46 69","0.00  (0.00%)"
"397","DENTSPLY SIRONA Inc.","XRAY","0.046551","    49 48","0.00  (0.00%)"
"398","Duke Realty Corporation","DRE","0.045804","    30 48","0.00  (0.00%)"
"399","Raymond James Financial Inc.","RJF","0.045604","    81 00","0.00  (0.00%)"
"400","Lamb Weston Holdings Inc.","LW","0.044861","    70 21","0.00  (0.00%)"
"401","Pinnacle West Capital Corporation","PNW","0.044738","    94 12","0.00  (0.00%)"
"402","CarMax Inc.","KMX","0.044681","    60 00","0.45  (0.76%)"
"403","FMC Corporation","FMC","0.044540","    78 44","0.00  (0.00%)"
"404","Tiffany & Co.","TIF","0.044434","    96 28","0.00  (0.00%)"
"405","Cboe Global Markets Inc","CBOE","0.044405","    94 50","0.00  (0.00%)"
"406","Noble Energy Inc.","NBL","0.044335","    22 04","0.00  (0.00%)"
"407","United Rentals Inc.","URI","0.044046","    124 00","-0.01  (-0.01%)"
